Package,Coach Type,Package days,Boarding Points,SUNDAY_ADULT,SUNDAY_CHILD,MONDAY_ADULT,MONDAY_CHILD,TUESDAY_ADULT,TUESDAY_CHILD,WEDNESDAY _ADULT,WEDNESDAY _CHILD,THURSDAY_ADULT,THURSDAY_CHILD,FRIDAY_ADULT,FRIDAY_CHILD,SATURDAY _ADULT,SATURDAY _CHILD,Single Ticket Extra Tariff
HYDERABAD PALACE PACKAGE TOUR,PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(PARYATAK BHAVAN BEGUMPET, Ph: 9848306435 : 12:00:00),(HOTEL GOLCONDA MASAB TANK : 12:30:00),(CRO BASHEERBAGH, Ph: 9848540371 : 12:45:00),(HOTEL TAJ KRISHNA, Ph: 9848540371 : 12:15:00),(PARYATAK BHAVAN BEGUMPET, Ph: 9848306435 : 19:30:00)",2350,1890,2350,1890,2350,1890,2350,1890,2350,1890,2350,1890,2350,1890,0
WARANGAL KAKATIYA HERITAGE TOUR,PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT",(WARANGAL : 16:00:00),3049,2449,3049,2449,3049,2449,3049,2449,3049,2449,3049,2449,3049,2449,0
HYDERABAD-WARANGAL,PACKAGE,SAT,"(YATRINIVAS, Ph: 9848126947 : 07:00:00),(WARANGAL : 16:00:00)",0,0,0,0,0,0,0,0,0,0,0,0,3450,2800,0
HYDERABAD-KALESHWARAM-RAMAPPA-1000 PILLAR-YADAGIRIGUTTA-KEESARA-HYDERABAD,PACKAGE,"SAT,SUN","(CRO TANKBUND, Ph: 9848540371 : 22:30:00),(YATRINIVAS, Ph: 9848126947 : 23:00:00)",1650,1320,0,0,0,0,0,0,0,0,0,0,1650,1320,0
HYDERABAD-VEMULAVADA-KONDAGATTU-DHARMAPURI-HYDERABAD,PACKAGE,"SAT,SUN","(CRO TANKBUND, Ph: 9848540371 : 07:10:00),(VEMULAWADA : 11:30:00),(DHARMAPURI : 14:00:00)",1300,1040,0,0,0,0,0,0,0,0,0,0,1300,1040,0
HYDERABAD-PANCHARAMAM,PACKAGE,SUN,"(CRO TANKBUND, Ph: 9848540371 : 19:30:00)",3500,2800,0,0,0,0,0,0,0,0,0,0,0,0,0
POCHAMPALLY LO VANABHOJANALU,PACKAGE,"SAT,SUN","(CRO TANKBUND, Ph: 9848540371 : 09:00:00),(PARYATAK BHAVAN BEGUMPET, Ph: 9848306435 : 09:15:00),(YATRINIVAS, Ph: 9848126947 : 09:30:00),(POCHAMPALLY : 11:00:00)",530,440,0,0,0,0,0,0,0,0,0,0,530,440,0
HYDERABAD-BANGALORE-OOTY-MYSORE,PACKAGE,MON,"(CRO TANKBUND, Ph: 9848540371 : 16:00:00)",9500,7600,9500,7600,9500,7600,9500,7600,9500,7600,9500,7600,9500,7600,1500
TEMPLE CUM HILL STATION PACKAGE TOUR,PACKAGE,SAT,"(YATRINIVAS, Ph: 9848126947 : 08:00:00),(CRO TANKBUND, Ph: 9848540371 : 08:30:00),(ANANTHAGIRI : 16:30:00)",0,0,0,0,0,0,0,0,0,0,0,0,3040,2400,0
CHILKUR BALAJI DARSHAN,PACKAGE,"SUN,MON,TUE,WED,THU,FRI,SAT","(YATRINIVAS, Ph: 9848126947 : 09:00:00),(CRO TANKBUND, Ph: 9848540371 : 09:30:00),(CHILKUR : 11:30:00)",465,385,465,385,465,385,465,385,465,385,465,385,465,385,0
HYDERABAD HOP ON HOP OFF TOUR,AC PACKAGE,"SUN,MON,TUE,WED,THU,SAT","(SALARJUNG MUSEUM : 09:30:00),(NIZAM MUSEUM : 09:45:00),(CHARMINAR : 09:55:00),(CHOWMAHALLA PALACE : 10:05:00),(ZOO PARK : 10:25:00),(GOLCONDA FORT, Ph: 9848540371 : 11:10:00),(QUTUB SHAHI TOMBS : 11:20:00),(LUMBINI PARK : 11:50:00),(BIRLA MANDIR : 09:10:00)",250,150,250,150,250,150,250,150,250,150,0,0,250,150,0
HYDERABAD-YADAGIRIGUTTA-POCHAMPALLY-HYDERABAD,PACKAGE,"SAT,SUN","(CRO TANKBUND, Ph: 9848540371 : 08:00:00),(YADAGIRIGUTTA : 10:00:00)",350,290,0,0,0,0,0,0,0,0,0,0,350,290,0
