Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
WARANGAL,WARANGAL,SHAMBUNIPET,KARIMABAD,B.R.NAGAR,2,COMMERCIAL,62,59,10212,200.31
WARANGAL,WARANGAL,SHAMBUNIPET,KARIMABAD,FORT ROAD,2,COMMERCIAL,230,214,36416,551.342
WARANGAL,WARANGAL,SHAMBUNIPET,KARIMABAD,KAMUNIPENTA-I,2,COMMERCIAL,124,118,10075,221.012
WARANGAL,WARANGAL,SHAMBUNIPET,KARIMABAD,KAMUNIPENTA-II,2,COMMERCIAL,71,64,6075,102.63
NIRMAL,NIRMAL,KHANAPUR,DASTURABAD,DASTURABAD,2,COMMERCIAL,124,112,11685,705.124
NIRMAL,NIRMAL,KHANAPUR,DASTURABAD,DEVUNIGUDAM,2,COMMERCIAL,14,14,381,15.51
NIRMAL,NIRMAL,KHANAPUR,DASTURABAD,ERRAGUNTA,2,COMMERCIAL,4,3,13,6.0
NIRMAL,NIRMAL,KHANAPUR,DASTURABAD,GODESERYARAL,2,COMMERCIAL,16,15,1540,37.5
NIRMAL,NIRMAL,KHANAPUR,DASTURABAD,MALLAPUR,2,COMMERCIAL,12,9,713,26.44
NIRMAL,NIRMAL,KHANAPUR,DASTURABAD,MUNYAL,2,COMMERCIAL,77,65,6397,116.89
NIRMAL,NIRMAL,KHANAPUR,DASTURABAD,Munnial tanda,2,COMMERCIAL,2,2,25,4.0
NIRMAL,NIRMAL,KHANAPUR,DASTURABAD,PARKAPALLI,2,COMMERCIAL,22,21,1433,55.49
NIRMAL,NIRMAL,KHANAPUR,DASTURABAD,RAMPUR,2,COMMERCIAL,4,4,209,6.2
NIRMAL,NIRMAL,KHANAPUR,DASTURABAD,REVOJIPET(OLD),2,COMMERCIAL,51,47,3910,90.24
NIRMAL,NIRMAL,KHANAPUR,KADDAM,ALAMPALLY,2,COMMERCIAL,5,5,845,15.0
NIRMAL,NIRMAL,KHANAPUR,KADDAM,AMBARIPET,2,COMMERCIAL,23,19,1468,40.26
NIRMAL,NIRMAL,KHANAPUR,KADDAM,BELLAL,2,COMMERCIAL,37,32,9487,69.41
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,RAMA TALKIES,2,COMMERCIAL,379,351,34885,623.765
NIRMAL,NIRMAL,KHANAPUR,KADDAM,SARANGAPUR(K),2,COMMERCIAL,13,10,329,16.6
NIRMAL,NIRMAL,KHANAPUR,KADDAM,UDDAMPUR,2,COMMERCIAL,19,18,3090,52.19
NIRMAL,NIRMAL,KHANAPUR,KADDAM,WAKEEL NAGAR,2,COMMERCIAL,1,1,16,2.0
NIRMAL,NIRMAL,KHANAPUR,KADDAM,YELGADAPA,2,COMMERCIAL,25,21,611,33.79
NIRMAL,NIRMAL,KHANAPUR,KHANAPUR,ADVI SARANGAPUR,2,COMMERCIAL,3,2,384,6.5
NIRMAL,NIRMAL,KHANAPUR,KHANAPUR,BADAMKURTHY,2,COMMERCIAL,63,52,2395,81.04
NIRMAL,NIRMAL,KHANAPUR,KHANAPUR,BEERRNANDI,2,COMMERCIAL,33,30,3103,50.12
NIRMAL,NIRMAL,KHANAPUR,KHANAPUR,BHAVAPUR(K),2,COMMERCIAL,7,7,127,6.99
NIRMAL,NIRMAL,KHANAPUR,KHANAPUR,BHAVAPUR(R),2,COMMERCIAL,2,1,21,1.95
NIRMAL,NIRMAL,KHANAPUR,KHANAPUR,DILWARPUR,2,COMMERCIAL,18,16,1025,38.74
NIRMAL,NIRMAL,KHANAPUR,KHANAPUR,ERRACHINTAL,2,COMMERCIAL,12,11,2637,29.76
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,CHINCHOLI(B),2,COMMERCIAL,154,127,30081,552.677
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,DEVITHAND,2,COMMERCIAL,6,6,41,9.0
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,DHANI,2,COMMERCIAL,38,24,2417,62.48
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,DUPIATHANDA,2,COMMERCIAL,3,3,25,3.0
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,GOPALPET,2,COMMERCIAL,28,20,898,42.01
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,HANMAN THANDA,2,COMMERCIAL,1,1,0,1.0
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,IPPACHALMA,2,COMMERCIAL,1,1,24,1.0
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,JAAM,2,COMMERCIAL,124,102,8726,165.976
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,KOUTLA(B),2,COMMERCIAL,71,60,12867,164.777
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,KUPTI,2,COMMERCIAL,12,12,660,24.0
NIZAMABAD,BODHAN,BODHAN,BODHAN TOWN-II,JADI JAMALPOOR,2,COMMERCIAL,31,23,1833,29.688
