,district,month,visitors,Date
110,Karimnagar,March,0,01-01-2024
111,Karimnagar,April,0,01-01-2024
112,Karimnagar,May,0,01-01-2024
113,Karimnagar,June,0,01-01-2024
114,Karimnagar,July,0,01-01-2024
115,Karimnagar,August,0,01-01-2024
116,Karimnagar,September,0,01-01-2024
117,Karimnagar,October,0,01-01-2024
118,Karimnagar,November,0,01-01-2024
119,Karimnagar,December,0,01-01-2024
120,Khammam,January,0,01-01-2024
121,Khammam,February,0,01-01-2024
122,Khammam,March,0,01-01-2024
123,Khammam,April,0,01-01-2024
124,Khammam,May,0,01-01-2024
125,Khammam,June,0,01-01-2024
126,Khammam,July,0,01-01-2024
127,Khammam,August,0,01-01-2024
128,Khammam,September,0,01-01-2024
129,Khammam,October,0,01-01-2024
130,Khammam,November,0,01-01-2024
131,Khammam,December,0,01-01-2024
132,Komaram Bheem Asifabad,January,0,01-01-2024
133,Komaram Bheem Asifabad,February,0,01-01-2024
134,Komaram Bheem Asifabad,March,0,01-01-2024
135,Komaram Bheem Asifabad,April,0,01-01-2024
136,Komaram Bheem Asifabad,May,0,01-01-2024
137,Komaram Bheem Asifabad,June,0,01-01-2024
138,Komaram Bheem Asifabad,July,0,01-01-2024
139,Komaram Bheem Asifabad,August,0,01-01-2024
140,Komaram Bheem Asifabad,September,0,01-01-2024
141,Komaram Bheem Asifabad,October,0,01-01-2024
142,Komaram Bheem Asifabad,November,0,01-01-2024
143,Komaram Bheem Asifabad,December,0,01-01-2024
144,Mahabubabad,January,0,01-01-2024
145,Mahabubabad,February,0,01-01-2024
146,Mahabubabad,March,0,01-01-2024
147,Mahabubabad,April,0,01-01-2024
148,Mahabubabad,May,0,01-01-2024
149,Mahabubabad,June,0,01-01-2024
150,Mahabubabad,July,0,01-01-2024
151,Mahabubabad,August,0,01-01-2024
152,Mahabubabad,September,0,01-01-2024
153,Mahabubabad,October,0,01-01-2024
154,Mahabubabad,November,0,01-01-2024
155,Mahabubabad,December,0,01-01-2024
156,Mahabubnagar,January,0,01-01-2024
157,Mahabubnagar,February,0,01-01-2024
158,Mahabubnagar,March,0,01-01-2024
159,Mahabubnagar,April,0,01-01-2024
160,Mahabubnagar,May,0,01-01-2024
161,Mahabubnagar,June,0,01-01-2024
162,Mahabubnagar,July,0,01-01-2024
163,Mahabubnagar,August,0,01-01-2024
164,Mahabubnagar,September,0,01-01-2024
165,Mahabubnagar,October,0,01-01-2024
166,Mahabubnagar,November,0,01-01-2024
167,Mahabubnagar,December,0,01-01-2024
168,Mancherial,January,0,01-01-2024
169,Mancherial,February,0,01-01-2024
170,Mancherial,March,0,01-01-2024
171,Mancherial,April,0,01-01-2024
172,Mancherial,May,0,01-01-2024
173,Mancherial,June,0,01-01-2024
174,Mancherial,July,0,01-01-2024
175,Mancherial,August,0,01-01-2024
176,Mancherial,September,0,01-01-2024
177,Mancherial,October,0,01-01-2024
178,Mancherial,November,0,01-01-2024
179,Mancherial,December,0,01-01-2024
180,Medak,January,0,01-01-2024
181,Medak,February,0,01-01-2024
182,Medak,March,0,01-01-2024
183,Medak,April,0,01-01-2024
184,Medak,May,0,01-01-2024
185,Medak,June,0,01-01-2024
186,Medak,July,0,01-01-2024
187,Medak,August,0,01-01-2024
188,Medak,September,0,01-01-2024
189,Medak,October,0,01-01-2024
190,Medak,November,0,01-01-2024
191,Medak,December,0,01-01-2024
192,Mulugu,January,10,01-01-2024
193,Mulugu,February,10,01-01-2024
194,Mulugu,March,10,01-01-2024
195,Mulugu,April,10,01-01-2024
196,Mulugu,May,10,01-01-2024
197,Mulugu,June,10,01-01-2024
198,Mulugu,July,10,01-01-2024
199,Mulugu,August,10,01-01-2024
200,Mulugu,September,10,01-01-2024
201,Mulugu,October,10,01-01-2024
202,Mulugu,November,10,01-01-2024
203,Mulugu,December,10,01-01-2024
204,Nagarkurnool,January,0,01-01-2024
205,Nagarkurnool,February,0,01-01-2024
206,Nagarkurnool,March,0,01-01-2024
207,Nagarkurnool,April,0,01-01-2024
208,Nagarkurnool,May,0,01-01-2024
209,Nagarkurnool,June,0,01-01-2024
210,Nagarkurnool,July,0,01-01-2024
211,Nagarkurnool,August,0,01-01-2024
212,Nagarkurnool,September,0,01-01-2024
213,Nagarkurnool,October,0,01-01-2024
214,Nagarkurnool,November,0,01-01-2024
215,Nagarkurnool,December,0,01-01-2024
216,Nalgonda & Suryapet,January,0,01-01-2024
217,Nalgonda & Suryapet,February,0,01-01-2024
218,Nalgonda & Suryapet,March,0,01-01-2024
219,Nalgonda & Suryapet,April,0,01-01-2024
220,Nalgonda & Suryapet,May,0,01-01-2024
221,Nalgonda & Suryapet,June,0,01-01-2024
222,Nalgonda & Suryapet,July,0,01-01-2024
223,Nalgonda & Suryapet,August,0,01-01-2024
224,Nalgonda & Suryapet,September,0,01-01-2024
225,Nalgonda & Suryapet,October,0,01-01-2024
226,Nalgonda & Suryapet,November,0,01-01-2024
227,Nalgonda & Suryapet,December,0,01-01-2024
228,Narayanpet,January,0,01-01-2024
229,Narayanpet,February,0,01-01-2024
230,Narayanpet,March,0,01-01-2024
231,Narayanpet,April,0,01-01-2024
232,Narayanpet,May,0,01-01-2024
233,Narayanpet,June,0,01-01-2024
234,Narayanpet,July,0,01-01-2024
235,Narayanpet,August,0,01-01-2024
236,Narayanpet,September,0,01-01-2024
237,Narayanpet,October,0,01-01-2024
238,Narayanpet,November,0,01-01-2024
239,Narayanpet,December,0,01-01-2024
240,Nirmal,January,0,01-01-2024
241,Nirmal,February,0,01-01-2024
242,Nirmal,March,0,01-01-2024
243,Nirmal,April,0,01-01-2024
244,Nirmal,May,0,01-01-2024
245,Nirmal,June,0,01-01-2024
246,Nirmal,July,0,01-01-2024
247,Nirmal,August,0,01-01-2024
248,Nirmal,September,0,01-01-2024
249,Nirmal,October,0,01-01-2024
250,Nirmal,November,0,01-01-2024
251,Nirmal,December,0,01-01-2024
252,Nizamabad,January,0,01-01-2024
253,Nizamabad,February,0,01-01-2024
254,Nizamabad,March,0,01-01-2024
255,Nizamabad,April,0,01-01-2024
256,Nizamabad,May,0,01-01-2024
257,Nizamabad,June,0,01-01-2024
258,Nizamabad,July,0,01-01-2024
259,Nizamabad,August,0,01-01-2024
260,Nizamabad,September,0,01-01-2024
261,Nizamabad,October,0,01-01-2024
262,Nizamabad,November,0,01-01-2024
263,Nizamabad,December,0,01-01-2024
264,Peddapalli,January,0,01-01-2024
265,Peddapalli,February,0,01-01-2024
266,Peddapalli,March,0,01-01-2024
267,Peddapalli,April,0,01-01-2024
268,Peddapalli,May,0,01-01-2024
269,Peddapalli,June,0,01-01-2024
270,Peddapalli,July,0,01-01-2024
271,Peddapalli,August,0,01-01-2024
272,Peddapalli,September,0,01-01-2024
273,Peddapalli,October,0,01-01-2024
274,Peddapalli,November,0,01-01-2024
275,Peddapalli,December,0,01-01-2024
276,Rajanna Sircilla,January,0,01-01-2024
277,Rajanna Sircilla,February,0,01-01-2024
278,Rajanna Sircilla,March,0,01-01-2024
279,Rajanna Sircilla,April,0,01-01-2024
280,Rajanna Sircilla,May,0,01-01-2024
281,Rajanna Sircilla,June,0,01-01-2024
282,Rajanna Sircilla,July,0,01-01-2024
283,Rajanna Sircilla,August,0,01-01-2024
284,Rajanna Sircilla,September,0,01-01-2024
285,Rajanna Sircilla,October,0,01-01-2024
286,Rajanna Sircilla,November,0,01-01-2024
287,Rajanna Sircilla,December,0,01-01-2024
288,Sangareddy,January,0,01-01-2024
289,Sangareddy,February,0,01-01-2024
290,Sangareddy,March,0,01-01-2024
291,Sangareddy,April,0,01-01-2024
292,Sangareddy,May,0,01-01-2024
293,Sangareddy,June,0,01-01-2024
294,Sangareddy,July,0,01-01-2024
295,Sangareddy,August,0,01-01-2024
296,Sangareddy,September,0,01-01-2024
297,Sangareddy,October,0,01-01-2024
298,Sangareddy,November,0,01-01-2024
299,Sangareddy,December,0,01-01-2024
300,Siddipet,January,0,01-01-2024
301,Siddipet,February,0,01-01-2024
302,Siddipet,March,0,01-01-2024
303,Siddipet,April,0,01-01-2024
304,Siddipet,May,0,01-01-2024
